Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt (+/-),On-Off (+/-),BadPass T/O,LostBall T/O,Shoot Foul,Off-Ball Foul,Shooting Fouls Drawn,Off-Ball Fouls Drawn,PGA,And1,Blkd
2003-04,19,CLE,NBA,SG,79,3122,14%,74%,11%,,,-2.6,2.2,129,77,52,36,187,,983,47,76
2004-05,20,CLE,NBA,SF,80,3388,,,95%,4%,,2.1,8.8,143,56,60,24,255,,1234,65,71
2005-06,21,CLE,NBA,SF,79,3361,,1%,97%,2%,,4.1,10.4,120,68,59,35,362,16,1190,107,65
2006-07,22,CLE,NBA,SF,78,3190,,,96%,4%,,6.2,8.8,122,62,75,34,313,20,1065,96,49
2007-08,23,CLE,NBA,SF,75,3027,,,77%,23%,1%,2.4,10.9,136,61,65,33,344,12,1259,88,61
2008-09,24,CLE,NBA,SF,81,3054,,,74%,26%,,15,21.2,113,68,55,32,372,13,1406,97,59
2009-10,25,CLE,NBA,SF,76,2966,,1%,84%,15%,,11.5,16.8,148,57,52,27,331,7,1496,82,43
2010-11,26,MIA,NBA,SF,79,3063,,,81%,19%,,10.6,9,132,85,59,40,272,5,1260,77,38
2011-12,27,MIA,NBA,SF,62,2326,,,74%,26%,,10.4,14,125,52,41,16,212,13,872,51,31
2012-13,28,MIA,NBA,PF,76,2877,,,9%,82%,9%,13.2,15.3,137,52,34,26,214,7,1298,54,41
2013-14,29,MIA,NBA,PF,77,2902,,,12%,83%,5%,7.2,7,152,69,36,26,252,6,1156,74,42
2014-15,30,CLE,NBA,SF,69,2493,,,77%,23%,,10.8,16.6,155,61,46,26,239,7,1228,62,48
2015-16,31,CLE,NBA,SF,76,2709,,,77%,23%,,11.5,15.8,145,54,48,32,225,13,1262,75,69
2016-17,32,CLE,NBA,SF,74,2794,,1%,61%,35%,3%,8.4,17.3,179,73,54,30,263,12,1641,78,61
2017-18,33,CLE,NBA,PF,82,3026,,,37%,61%,2%,1.4,1.9,217,77,44,28,252,4,1836,85,68
2018-19,34,LAL,NBA,SF,55,1937,,,64%,34%,3%,2.4,8.2,127,44,41,16,195,9,1054,59,52
2019-20,35,LAL,NBA,PG,67,2316,57%,37%,7%,,,9,9.9,165,50,33,28,184,19,1602,68,59
2020-21,36,LAL,NBA,PG,45,1504,73%,26%,,,,8.6,10.6,101,37,27,10,131,11,835,44,27
Career,,,NBA,,1310,50055,6%,7%,60%,26%,1%,7.2,11.3,2546,1103,881,499,4603,174,22677,1309,960
